Original,Attack
"I have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. It is red, itchy, and covered in dry, scaly patches.","I have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. It is crimson, pruritic, and flaky."
"My skin has been peeling, especially on my knees, elbows, and scalp. This peeling is often accompanied by a burning or stinging sensation.","My skin has been desquamating, especially on my knees, flaking on my elbows, and on my scalp. This desquamation is often accompanied by a scorching or burning sensation."
"I have been experiencing joint pain in my fingers, wrists, and knees. The pain is often achy and throbbing, and it gets worse when I move my joints.","I have been experiencing arthralgia in my fingers, wrist pain, and knee pain. The pain is often sharp and pulsating, and it gets aggravated by activity."
"There is a silver like dusting on my skin, especially on my lower back and scalp. This dusting is made up of small scales that flake off easily when I scratch them.","There is a sooty appearance on my skin, especially on my lower back and scalp. This appearance is focused on fine flakes that peel off easily when I scratch them."
"My nails have small dents or pits in them, and they often feel inflammatory and tender to the touch. Even there are minor rashes on my arms.","My nails have indentations in them, and they often feel inflamed and tender to the touch. Even there are skin irritations on my arms."
The skin on my palms and soles is thickened and has deep cracks. These cracks are painful and bleed easily.,The callused skin on my palms and soles has deep fissures. These fissures are painful and hemorrhage easily.
"The skin around my mouth, nose, and eyes is red and inflamed. It is often itchy and uncomfortable. There is a noticeable inflammation in my nails.","The skin shows Erythema around my mouth, nose, and eyes, which is often accompanied by Pruritus. There is also noticeable swelling in my nails."
My skin is very sensitive and reacts easily to changes in temperature or humidity. I often have to be careful about what products I use on my skin.,My skin is very thermosensitive and reacts easily to changes in temperature or moisture. I often have to be cautious about what products I use on my sensitive skin.
"I have noticed a sudden peeling of skin at different parts of my body, mainly arms, legs and back. Also, I face severe joint pain and skin rashes.","I have noticed a sudden desquamation at different parts of my body, mainly arms, legs, and back. Also, I face intense joint pain and dermatitis."
"The skin on my genitals is red and inflamed. It is often itchy, burning, and uncomfortable. There are rashes on different parts of the body too.","The skin on my genitals is erythematous and inflamed. It is often pruritic, stinging, and painful. There are skin eruptions on different parts of the body too."
"I have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. It is red, itchy, and covered in dry, scaly patches.","I have been experiencing dermatitis on my arms, legs, and torso for the past few weeks. It is inflammation, pruritus, and covered in eczema."
"My skin has been peeling, especially on my knees, elbows, and scalp. This peeling is often accompanied by a burning or stinging sensation.","My skin has been desquamating, especially on my knees, elbows, and scalp. This desquamation is often accompanied by a raging or burning sensation."
"I have been experiencing joint pain in my fingers, wrists, and knees. The pain is often achy and throbbing, and it gets worse when I move my joints.","I have been experiencing arthritis in my fingers, wrist pain, and knee pain. The pain is often agonizing and throbbing, and it gets aggravated by movement of joints."
"There is a silver like dusting on my skin, especially on my lower back and scalp. This dusting is made up of small scales that flake off easily when I scratch them.","There is a silvery appearance on my skin, especially focused on my lower back and scalp. This appearance is made up of tiny flakes that flake off easily like dandruff."
"My nails have small dents or pits in them, and they often feel inflammatory and tender to the touch. Even there are minor rashes on my arms.","My nails have nail pitting, and they often feel unhealthy inflammation and sore. Even there are slight skin irritation on my arms."
The skin on my palms and soles is thickened and has deep cracks. These cracks are painful and bleed easily.,The skin on my palms and soles is callused and has fissures. These fissures are painful and bleed easily.
"The skin around my mouth, nose, and eyes is red and inflamed. It is often itchy and uncomfortable. There is a noticeable inflammation in my nails.","The skin around my mouth, nose, and eyes shows Erythema and is often accompanied by Pruritus. There is also noticeable Swelling in my nails."
My skin is very sensitive and reacts easily to changes in temperature or humidity. I often have to be careful about what products I use on my skin.,My skin is very sensitive and reacts easily to changes in temperature or humidity. I often have to be careful about what products I use on my skin.
"I have noticed a sudden peeling of skin at different parts of my body, mainly arms, legs and back. Also, I face severe joint pain and skin rashes.","I have noticed a skin shedding at different parts of my body, mainly arms, legs, and back. Also, I face intense joint pain and dermatitis."
